url,metadata_reference
http://www.tiktokshopmall.link/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.bet83067.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://wegw4t3.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://blessed-begin-062639.framer.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://coinbse_pro-login.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://wsaq2.bet365999555.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://900987654445678.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://90554211467432115765.weebly.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://ahpp88.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://j.imchell.shop/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://omnistream.ru.com/chase/chase,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://tommor-h.replit.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://web-extion-f9e8d421-a567-4c38-4f29-v5t839142m4a.nl/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://secure-en-blockfi-sso-cdn-sso.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://t17-xcvnmbekwuhuweitmsnvoiqa.vercel.app/caseid/10001770TR9126899.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://ee-help-account.firebaseapp.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://kucoinkulogin.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://various-areas-570778.framer.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://netcoinsloginchart.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://kuqzoiinlgin.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://junos-five-star-site-3cb4c9.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.whatsapppbusiness.online/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.netflix-nine-alpha.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://metamask-docs-git-infuracreditpricing-metamask-web.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.allstarfenceco.net/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://metatradetrustlink.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://dev-data.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://reporting.production.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://dash-demo.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://beta.dashboard.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://bi.preview.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://report.uat.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://reporting.preprod.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://qa-dash.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://dev.reporting.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://report.dev.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://cml5761.webmo.fr/ka/JA/f86ee6c/Sign_in.php,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://kuucoinerrunogin.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://singiepolnt.uspark.digital/login.php?token=e117e84e6e9521791d11958b62b2357b,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.tiktokshop999.vip/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://secure-en-ledger-public.weebly.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://prathamacharya1116.github.io/netflix-landingpage-clone/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://activation.icibnk.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://_dmarc.webdisk.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://auth.attollo.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://dashboard.jimpike.com.au/mobile/front,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
